date,location,new_cases,new_deaths,total_cases,total_deaths
2019-12-31,United States,0,0,0,0
2020-01-01,United States,0,0,0,0
2020-01-02,United States,0,0,0,0
2020-01-03,United States,0,0,0,0
2020-01-04,United States,0,0,0,0
2020-01-05,United States,0,0,0,0
2020-01-06,United States,0,0,0,0
2020-01-07,United States,0,0,0,0
2020-01-08,United States,0,0,0,0
2020-01-09,United States,0,0,0,0
2020-01-10,United States,0,0,0,0
2020-01-11,United States,0,0,0,0
2020-01-12,United States,0,0,0,0
2020-01-13,United States,0,0,0,0
2020-01-14,United States,0,0,0,0
2020-01-15,United States,0,0,0,0
2020-01-16,United States,0,0,0,0
2020-01-17,United States,0,0,0,0
2020-01-18,United States,0,0,0,0
2020-01-19,United States,0,0,0,0
2020-01-20,United States,0,0,0,0
2020-01-21,United States,1,0,1,0
2020-01-22,United States,0,0,1,0
2020-01-23,United States,0,0,1,0
2020-01-24,United States,0,0,1,0
2020-01-25,United States,1,0,2,0
2020-01-26,United States,0,0,2,0
2020-01-27,United States,3,0,5,0
2020-01-28,United States,0,0,5,0
2020-01-29,United States,0,0,5,0
2020-01-30,United States,0,0,5,0
2020-01-31,United States,1,0,6,0
2020-02-01,United States,1,0,7,0
2020-02-02,United States,1,0,8,0
2020-02-03,United States,3,0,11,0
2020-02-04,United States,0,0,11,0
2020-03-14,United States,511,7,2174,47
2020-03-15,United States,777,10,2951,57
2020-03-20,United States,4835,0,14250,150
2020-02-08,United States,0,0,12,0
2020-02-09,United States,0,0,12,0
2020-02-10,United States,0,0,12,0
2020-02-11,United States,1,0,13,0
2020-02-12,United States,0,0,13,0
2020-02-13,United States,1,0,14,0
2020-02-14,United States,1,0,15,0
2020-02-15,United States,0,0,15,0
2020-03-21,United States,5374,110,19624,260
2020-03-16,United States,823,12,3774,69
2020-03-17,United States,887,16,4661,85
2020-03-22,United States,7123,80,26747,340
2020-03-23,United States,8459,131,35206,471
2020-02-22,United States,19,0,35,0
2020-02-23,United States,0,0,35,0
2020-02-24,United States,0,0,35,0
2020-03-08,United States,95,3,433,17
2020-03-09,United States,121,4,554,21
2020-03-10,United States,200,5,754,26
2020-03-18,United States,1766,23,6427,108
2020-03-19,United States,2988,42,9415,150
2020-03-11,United States,271,2,1025,28
2020-02-25,United States,18,0,53,0
2020-02-26,United States,0,0,53,0
2020-02-27,United States,6,0,59,0
2020-02-05,United States,0,0,11,0
2020-02-06,United States,1,0,12,0
2020-02-07,United States,0,0,12,0
2020-02-16,United States,0,0,15,0
2020-02-17,United States,0,0,15,0
2020-02-18,United States,0,0,15,0
2020-02-19,United States,0,0,15,0
2020-02-20,United States,0,0,15,0
2020-02-21,United States,1,0,16,0
2020-03-02,United States,20,1,89,2
2020-03-03,United States,14,4,103,6
2020-03-04,United States,22,3,125,9
2020-03-05,United States,34,2,159,11
2020-03-06,United States,74,1,233,12
2020-03-07,United States,105,2,338,14
2020-03-12,United States,287,2,1312,30
2020-03-13,United States,351,10,1663,40
2020-02-28,United States,1,0,60,0
2020-02-29,United States,6,0,66,0
2020-03-01,United States,3,1,69,1
